revision;ssmergeConfs;linedbasedConfs;ssmergeLOC;linebasedLOC;ssmergeFiles;linebasedFiles;semanticConfs;jdimeConfs;jdimeLOC;jdimeFiles;equalConfs
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_b8af717_bd3b6ef/rev_b8af717-bd3b6ef.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_1154f41_5a40953/rev_1154f41-5a40953.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_383758b_85473f9/rev_383758b-85473f9.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_05713da_53072c2/rev_05713da-53072c2.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_717b8b5_430f6b1/rev_717b8b5-430f6b1.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_82d4107_99bc349/rev_82d4107-99bc349.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_fa6eb11_d8c21fd/rev_fa6eb11-d8c21fd.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_62dbba8_3177c9c/rev_62dbba8-3177c9c.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_bc23689_c2a16aa/rev_bc23689-c2a16aa.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_7a1706c_17f82b5/rev_7a1706c-17f82b5.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_015ee2a_8fb6991/rev_015ee2a-8fb6991.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_27f199c_6bb80e6/rev_27f199c-6bb80e6.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_ef94204_55d7cda/rev_ef94204-55d7cda.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_33f7184_68e7ed0/rev_33f7184-68e7ed0.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_ac23db1_7141c68/rev_ac23db1-7141c68.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_835fae6_ed58cea/rev_835fae6-ed58cea.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_e94c48b_28c15d6/rev_e94c48b-28c15d6.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_7c84794_4adf7e7/rev_7c84794-4adf7e7.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_e0d979c_9e02cfd/rev_e0d979c-9e02cfd.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_7c81c86_79e4c68/rev_7c81c86-79e4c68.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_686d637_11855d9/rev_686d637-11855d9.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_116e239_ee88248/rev_116e239-ee88248.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_fd0d5f1_1c31667/rev_fd0d5f1-1c31667.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_d53a5c5_d3ef96d/rev_d53a5c5-d3ef96d.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_d9c1955_418d04d/rev_d9c1955-418d04d.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_4adafe3_b6dae39/rev_4adafe3-b6dae39.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_377a04c_51bd235/rev_377a04c-51bd235.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_fda6a00_75d0a67/rev_fda6a00-75d0a67.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_a251f6d_0508c16/rev_a251f6d-0508c16.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_c7a543e_91841ac/rev_c7a543e-91841ac.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_c31d83b_915f89c/rev_c31d83b-915f89c.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_9c3e2b3_b64b94b/rev_9c3e2b3-b64b94b.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_9c3e2b3_afc1b18/rev_9c3e2b3-afc1b18.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_f6c280a_3450ed4/rev_f6c280a-3450ed4.revisions;0;0;0;0;0;0;0;0;0;0;0
