revision;newArtefactsReferencingEditedOnes
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_95b5aea_418c9dd/rev_95b5aea-418c9dd.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e2acbd1_1becd63/rev_e2acbd1-1becd63.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_8ea38b7_37d2a3d/rev_8ea38b7-37d2a3d.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_3143c4f_5d9fbd7/rev_3143c4f-5d9fbd7.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b8bb128_587739b/rev_b8bb128-587739b.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_62e9bd9_22bc1ad/rev_62e9bd9-22bc1ad.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_4fd9f12_b89274e/rev_4fd9f12-b89274e.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a6cd4f6_3b34685/rev_a6cd4f6-3b34685.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_c3164d4_8c5d7c8/rev_c3164d4-8c5d7c8.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_8c5d7c8_142ae10/rev_8c5d7c8-142ae10.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_ac5975c_f7ec3db/rev_ac5975c-f7ec3db.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_f816edd_8d68963/rev_f816edd-8d68963.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_1ece326_3d2a2e5/rev_1ece326-3d2a2e5.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_4ca5d76_e39469f/rev_4ca5d76-e39469f.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_c326078_811259a/rev_c326078-811259a.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_49ccbb5_da16a65/rev_49ccbb5-da16a65.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_0801f7b_fe43088/rev_0801f7b-fe43088.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_fe43088_5ba6438/rev_fe43088-5ba6438.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b7e1825_f0dec22/rev_b7e1825-f0dec22.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_f0dec22_20d302f/rev_f0dec22-20d302f.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_143a459_4fc5362/rev_143a459-4fc5362.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_bcc3437_e1ff7b0/rev_bcc3437-e1ff7b0.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_c38e613_6a2d209/rev_c38e613-6a2d209.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_fa43533_eca16d6/rev_fa43533-eca16d6.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e54e34f_d4f1de3/rev_e54e34f-d4f1de3.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_869b524_52a8980/rev_869b524-52a8980.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_65bd63a_b24cf11/rev_65bd63a-b24cf11.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_47472eb_efa8181/rev_47472eb-efa8181.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a7b7a48_f184cf4/rev_a7b7a48-f184cf4.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e9fbf76_89dff7c/rev_e9fbf76-89dff7c.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b0e7073_913b117/rev_b0e7073-913b117.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_913b117_11011b4/rev_913b117-11011b4.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_fe05252_9d0804d/rev_fe05252-9d0804d.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_f4b9585_8d49020/rev_f4b9585-8d49020.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_7140256_171eb55/rev_7140256-171eb55.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_70c7c48_a8acb94/rev_70c7c48-a8acb94.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_c3f2c7b_0542afb/rev_c3f2c7b-0542afb.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_927c501_cf5a756/rev_927c501-cf5a756.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_aeb7500_48b1b5d/rev_aeb7500-48b1b5d.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_dce801b_297643c/rev_dce801b-297643c.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a1efd72_1adea02/rev_a1efd72-1adea02.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_17742f3_e8b4057/rev_17742f3-e8b4057.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_7f681ef_26d9465/rev_7f681ef-26d9465.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_526d3b1_6333a71/rev_526d3b1-6333a71.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_0f4960d_01e1ae2/rev_0f4960d-01e1ae2.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_3ec4800_f58a8cf/rev_3ec4800-f58a8cf.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_c1bd192_f497ad4/rev_c1bd192-f497ad4.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_4c7763f_5d91ba2/rev_4c7763f-5d91ba2.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_c5eb94b_7152ff0/rev_c5eb94b-7152ff0.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_4847948_c683ff9/rev_4847948-c683ff9.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_dfc92ab_dd6a885/rev_dfc92ab-dd6a885.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_95ab3e9_466d892/rev_95ab3e9-466d892.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_d852213_295f257/rev_d852213-295f257.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_619e57d_e38a56a/rev_619e57d-e38a56a.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_27af44d_bd86f52/rev_27af44d-bd86f52.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_dc63d51_032c5ee/rev_dc63d51-032c5ee.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_8300dfb_01624e3/rev_8300dfb-01624e3.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_5515bf0_a3d5135/rev_5515bf0-a3d5135.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_3e04199_301e491/rev_3e04199-301e491.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b27b4ea_87114fc/rev_b27b4ea-87114fc.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b849b74_dee6c75/rev_b849b74-dee6c75.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_ffdb337_abc73ca/rev_ffdb337-abc73ca.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_f988aeb_ec9c19c/rev_f988aeb-ec9c19c.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e9c7003_d69ff46/rev_e9c7003-d69ff46.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_792c87a_195b80e/rev_792c87a-195b80e.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_32f28f5_4ecb8bc/rev_32f28f5-4ecb8bc.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_3c5424d_6046b12/rev_3c5424d-6046b12.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_28562af_9f0308b/rev_28562af-9f0308b.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_65e0ef9_c22b69a/rev_65e0ef9-c22b69a.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a221472_3fcfd72/rev_a221472-3fcfd72.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_91b1bc8_a5fea6f/rev_91b1bc8-a5fea6f.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_2d7640b_e139517/rev_2d7640b-e139517.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_d85ae11_3c21c24/rev_d85ae11-3c21c24.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_564009b_1691f26/rev_564009b-1691f26.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_671263c_dd09a96/rev_671263c-dd09a96.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a70a060_e4cdf8a/rev_a70a060-e4cdf8a.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b151ae6_df4d52c/rev_b151ae6-df4d52c.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_2f95edb_f8e29ee/rev_2f95edb-f8e29ee.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_05d71b4_8b1f1ae/rev_05d71b4-8b1f1ae.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_3f9bcc9_6b9f91f/rev_3f9bcc9-6b9f91f.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_0d44b9c_c23b179/rev_0d44b9c-c23b179.revisions;0
